customer_id,company_name,industry,company_size,account_manager,login_frequency_30d,support_tickets_90d,usage_drop_pct,payment_late_count,nps_score,tenure_months,latest_ticket_text,churned
CUS-00000,Acme Corp 0,Retail,SMB,AM-1,3,0,32.2,2,7,51,Feature gap vs roadmap promises; escalation requested.,0
CUS-00001,Acme Corp 1,Manufacturing,Mid-Market,AM-2,30,0,13.3,3,5,41,Product downtime last week; team lost confidence.,0
CUS-00002,Acme Corp 2,Finance,Mid-Market,AM-3,26,2,-5.9,0,10,40,Product downtime last week; team lost confidence.,0
CUS-00003,Acme Corp 3,SaaS,SMB,AM-4,17,10,33.3,3,8,32,Product downtime last week; team lost confidence.,1
CUS-00004,Acme Corp 4,SaaS,Enterprise,AM-5,17,5,76.3,4,0,2,Competitor demo scheduled; pricing feels high.,1
CUS-00005,Acme Corp 5,Healthcare,Mid-Market,AM-6,34,8,48.7,0,4,23,Feature gap vs roadmap promises; escalation requested.,1
CUS-00006,Acme Corp 6,Manufacturing,Enterprise,AM-7,3,4,34.6,1,3,44,Product downtime last week; team lost confidence.,1
CUS-00007,Acme Corp 7,Finance,Enterprise,AM-8,27,2,-0.0,3,6,48,Billing confusion after plan change; waiting on refund.,0
CUS-00008,Acme Corp 8,Finance,Enterprise,AM-1,8,4,12.7,3,2,34,Competitor demo scheduled; pricing feels high.,1
CUS-00009,Acme Corp 9,Retail,Mid-Market,AM-2,3,1,16.5,3,10,42,Onboarding incomplete; champion left the company.,0
CUS-00010,Acme Corp 10,Retail,SMB,AM-3,21,9,58.8,2,3,2,Product downtime last week; team lost confidence.,1
CUS-00011,Acme Corp 11,Retail,SMB,AM-4,39,2,68.9,3,5,28,Billing confusion after plan change; waiting on refund.,1
CUS-00012,Acme Corp 12,SaaS,Mid-Market,AM-5,29,4,71.1,3,1,30,Feature gap vs roadmap promises; escalation requested.,1
CUS-00013,Acme Corp 13,Retail,SMB,AM-6,30,11,78.6,0,10,53,Feature gap vs roadmap promises; escalation requested.,1
CUS-00014,Acme Corp 14,Retail,Mid-Market,AM-7,28,7,78.4,3,10,19,Competitor demo scheduled; pricing feels high.,1
CUS-00015,Acme Corp 15,Healthcare,SMB,AM-8,31,5,75.8,2,8,14,Onboarding incomplete; champion left the company.,0
CUS-00016,Acme Corp 16,Manufacturing,Enterprise,AM-1,20,6,-3.5,0,3,21,Product downtime last week; team lost confidence.,0
CUS-00017,Acme Corp 17,Finance,SMB,AM-2,5,9,2.4,2,0,11,Onboarding incomplete; champion left the company.,1
CUS-00018,Acme Corp 18,Healthcare,Enterprise,AM-3,33,3,17.4,2,7,33,Billing confusion after plan change; waiting on refund.,1
CUS-00019,Acme Corp 19,Finance,SMB,AM-4,18,7,39.8,0,4,38,Product downtime last week; team lost confidence.,1
CUS-00020,Acme Corp 20,SaaS,SMB,AM-5,20,10,-1.3,4,10,48,Onboarding incomplete; champion left the company.,1
CUS-00021,Acme Corp 21,Finance,Enterprise,AM-6,14,6,66.1,1,7,58,Onboarding incomplete; champion left the company.,0
CUS-00022,Acme Corp 22,Manufacturing,Enterprise,AM-7,7,5,45.5,1,5,5,Billing confusion after plan change; waiting on refund.,1
CUS-00023,Acme Corp 23,Healthcare,Mid-Market,AM-8,37,1,38.8,2,10,15,Feature gap vs roadmap promises; escalation requested.,0
CUS-00024,Acme Corp 24,Manufacturing,Enterprise,AM-1,31,2,4.9,4,8,18,Product downtime last week; team lost confidence.,0
CUS-00025,Acme Corp 25,Healthcare,SMB,AM-2,25,11,12.8,3,5,15,Onboarding incomplete; champion left the company.,1
CUS-00026,Acme Corp 26,Manufacturing,Enterprise,AM-3,16,6,4.4,3,0,49,Onboarding incomplete; champion left the company.,1
CUS-00027,Acme Corp 27,SaaS,SMB,AM-4,32,3,66.7,1,1,9,Onboarding incomplete; champion left the company.,1
CUS-00028,Acme Corp 28,Healthcare,Mid-Market,AM-5,21,5,42.6,4,4,2,Feature gap vs roadmap promises; escalation requested.,1
CUS-00029,Acme Corp 29,Healthcare,SMB,AM-6,17,6,56.2,4,6,51,Competitor demo scheduled; pricing feels high.,1
CUS-00030,Acme Corp 30,SaaS,SMB,AM-7,18,6,16.6,2,0,57,Feature gap vs roadmap promises; escalation requested.,1
CUS-00031,Acme Corp 31,Healthcare,Mid-Market,AM-8,9,8,23.4,2,1,14,Product downtime last week; team lost confidence.,1
CUS-00032,Acme Corp 32,Manufacturing,Mid-Market,AM-1,3,3,26.4,0,7,20,Product downtime last week; team lost confidence.,0
CUS-00033,Acme Corp 33,Manufacturing,SMB,AM-2,22,7,58.4,3,8,30,Onboarding incomplete; champion left the company.,1
CUS-00034,Acme Corp 34,Retail,Enterprise,AM-3,35,5,59.5,4,0,32,Onboarding incomplete; champion left the company.,1
CUS-00035,Acme Corp 35,SaaS,Mid-Market,AM-4,2,11,8.6,2,5,59,Product downtime last week; team lost confidence.,1
CUS-00036,Acme Corp 36,Healthcare,SMB,AM-5,34,1,74.7,2,0,24,Onboarding incomplete; champion left the company.,1
CUS-00037,Acme Corp 37,Finance,Mid-Market,AM-6,33,1,0.9,2,7,1,Billing confusion after plan change; waiting on refund.,0
CUS-00038,Acme Corp 38,Healthcare,SMB,AM-7,11,5,70.7,0,9,25,Onboarding incomplete; champion left the company.,0
CUS-00039,Acme Corp 39,SaaS,SMB,AM-8,25,6,-1.0,3,9,33,Competitor demo scheduled; pricing feels high.,0
CUS-00040,Acme Corp 40,Retail,Mid-Market,AM-1,6,8,13.8,3,6,31,Onboarding incomplete; champion left the company.,1
CUS-00041,Acme Corp 41,SaaS,SMB,AM-2,30,4,66.2,4,6,31,Feature gap vs roadmap promises; escalation requested.,1
CUS-00042,Acme Corp 42,Healthcare,SMB,AM-3,28,10,6.2,4,10,55,Feature gap vs roadmap promises; escalation requested.,0
CUS-00043,Acme Corp 43,Finance,Mid-Market,AM-4,14,5,27.2,2,6,48,Feature gap vs roadmap promises; escalation requested.,0
CUS-00044,Acme Corp 44,Healthcare,SMB,AM-5,2,1,30.5,4,4,15,Billing confusion after plan change; waiting on refund.,1
CUS-00045,Acme Corp 45,Manufacturing,Enterprise,AM-6,38,1,12.1,2,8,21,Feature gap vs roadmap promises; escalation requested.,0
CUS-00046,Acme Corp 46,Retail,Mid-Market,AM-7,17,11,53.9,3,6,40,Product downtime last week; team lost confidence.,1
CUS-00047,Acme Corp 47,Healthcare,SMB,AM-8,35,1,66.6,3,9,25,Onboarding incomplete; champion left the company.,0
CUS-00048,Acme Corp 48,Manufacturing,Mid-Market,AM-1,27,11,68.7,4,5,26,Onboarding incomplete; champion left the company.,1
CUS-00049,Acme Corp 49,Retail,SMB,AM-2,31,3,20.5,3,9,10,Product downtime last week; team lost confidence.,0
CUS-00050,Acme Corp 50,Healthcare,Mid-Market,AM-3,30,1,37.8,0,0,16,Feature gap vs roadmap promises; escalation requested.,0
CUS-00051,Acme Corp 51,Healthcare,SMB,AM-4,7,3,12.4,0,0,44,Competitor demo scheduled; pricing feels high.,0
CUS-00052,Acme Corp 52,Finance,Enterprise,AM-5,14,7,12.0,2,1,50,Feature gap vs roadmap promises; escalation requested.,0
CUS-00053,Acme Corp 53,SaaS,SMB,AM-6,18,5,4.5,2,6,47,Feature gap vs roadmap promises; escalation requested.,0
CUS-00054,Acme Corp 54,Finance,Mid-Market,AM-7,19,9,74.6,3,7,19,Onboarding incomplete; champion left the company.,0
CUS-00055,Acme Corp 55,Retail,SMB,AM-8,1,7,69.9,2,2,9,Competitor demo scheduled; pricing feels high.,1
CUS-00056,Acme Corp 56,Finance,SMB,AM-1,21,4,60.0,2,1,10,Onboarding incomplete; champion left the company.,1
CUS-00057,Acme Corp 57,Healthcare,Mid-Market,AM-2,6,7,36.6,4,9,24,Onboarding incomplete; champion left the company.,1
CUS-00058,Acme Corp 58,Retail,Mid-Market,AM-3,29,11,34.2,1,8,31,Competitor demo scheduled; pricing feels high.,0
CUS-00059,Acme Corp 59,Manufacturing,Enterprise,AM-4,27,4,37.7,2,7,53,Competitor demo scheduled; pricing feels high.,0
CUS-00060,Acme Corp 60,Healthcare,SMB,AM-5,36,1,38.3,2,5,54,Feature gap vs roadmap promises; escalation requested.,0
CUS-00061,Acme Corp 61,Healthcare,SMB,AM-6,29,4,29.1,2,4,1,Competitor demo scheduled; pricing feels high.,1
CUS-00062,Acme Corp 62,Retail,SMB,AM-7,14,10,1.9,4,0,42,Competitor demo scheduled; pricing feels high.,1
CUS-00063,Acme Corp 63,Manufacturing,SMB,AM-8,38,2,1.3,4,2,18,Feature gap vs roadmap promises; escalation requested.,0
CUS-00064,Acme Corp 64,Healthcare,Enterprise,AM-1,16,11,75.7,2,9,12,Billing confusion after plan change; waiting on refund.,1
CUS-00065,Acme Corp 65,Manufacturing,Enterprise,AM-2,13,7,33.4,2,3,33,Competitor demo scheduled; pricing feels high.,1
CUS-00066,Acme Corp 66,Manufacturing,Enterprise,AM-3,36,7,75.8,2,7,3,Product downtime last week; team lost confidence.,1
